level_0,level_1,1,2,3,4
"(0, 5)","(3, 2)",-788.378184194275,-788.3802837027542,-787.2806150533492,-956.25
"(1, 5)","(3, 2)",-785.5216145695806,-783.3942764990143,-789.666812974564,-955.3125
"(2, 5)","(3, 2)",-783.4761953885411,-779.6827023005319,-781.1438761314514,-890.75
"(3, 4)","(3, 2)",-782.3490986494264,-779.3846844722161,-887.25,-779.3678435298236
"(0, 6)","(3, 2)",0.0,0.0,0.0,0.0
"(1, 6)","(3, 2)",0.0,0.0,0.0,0.0
"(1, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(0, 4)","(2, 1)",-782.370981928184,-784.4648403321042,-783.9503026529018,-787.2611946140132
"(1, 4)","(2, 1)",-781.191358346497,-782.6595235285872,-785.5119232497,-782.788099857419
"(2, 4)","(2, 1)",-782.5080816685149,-775.5435869138018,-953.4375,-780.2963809132782
"(0, 5)","(2, 1)",-785.7078645769216,-785.6995642521888,-785.077953176928,-894.25
"(1, 5)","(2, 1)",-782.6186409520162,-782.8789172960117,-779.9130024426163,-893.375
"(2, 5)","(2, 1)",-779.4924158464341,-776.7726773483839,-779.7905412068476,-892.5
"(3, 4)","(2, 1)",-769.4710623073065,-772.2555136433011,-890.75,-771.536119153956
"(5, 4)","(4, 1)",-786.4621897229129,-782.3272131426099,-889.0,-784.3755452771343
"(3, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(3, 5)","(3, 1)",-790.6314093785425,-787.0158202482095,-785.6732792298335,-891.625
"(4, 4)","(3, 1)",-789.1644132640378,-787.9867487099724,-889.875,-784.8311869717784
"(0, 4)","(2, 2)",-786.8370158334269,-785.0031798919756,-787.2388133654515,-782.5545079219041
"(1, 4)","(2, 2)",-781.5592920946854,-782.130176180164,-781.8646711632726,-782.8199224113632
"(2, 4)","(2, 2)",-781.2635986975845,-778.070623589552,-888.125,-777.4143431393891
"(0, 5)","(2, 2)",-780.5039010479904,-779.0934329875079,-782.2074438211791,-892.5
"(1, 5)","(2, 2)",-780.6701969923868,-780.3944065902585,-778.3751139200505,-891.625
"(2, 5)","(2, 2)",-776.9431525326311,-777.8238725071188,-777.5068888161273,-890.75
"(1, 6)","(2, 2)",0.0,0.0,0.0,0.0
"(0, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(5, 4)","(4, 2)",-792.9004593684923,-795.2061518841906,-950.625,-794.0376283992629
"(4, 3)","(4, 2)",0.0,0.0,0.0,0.0
"(0, 1)","(1, 1)",-791.8624215204125,-793.383000941174,-794.464587251392,-790.1293118075766
"(5, 2)","(1, 2)",-796.276657480563,-796.6524449505309,-798.7644605821013,-892.5
"(5, 1)","(1, 2)",-799.6424676211661,-801.0951066202172,-797.0400225344304,-797.4945153170063
"(5, 0)","(1, 2)",-794.9128595897762,-795.596469558823,-794.7820084915085,-799.8430933594542
"(4, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(5, 5)","(4, 1)",-787.3457742666117,-785.7725927183385,-784.2785598033945,-784.8555898518204
"(4, 6)","(4, 1)",-891.625,-782.6344198011245,-783.8036941306303,-781.8186736659604
"(3, 5)","(3, 2)",-778.2162581705252,-776.0671457641297,-776.4530125019741,-889.875
"(4, 4)","(3, 2)",-777.6430750962768,-785.5205443682058,-951.5625,-776.0978547360894
"(3, 3)","(3, 2)",0.0,0.0,0.0,0.0
"(5, 5)","(4, 2)",-789.8198584267651,-788.4611512513226,-793.7587772906998,-790.6472141376219
"(4, 6)","(4, 2)",-889.875,-786.2792223640208,-786.8496419309199,-786.9777012458446
"(5, 3)","(1, 1)",0.0,0.0,0.0,0.0
"(3, 4)","(2, 2)",-776.0384799672822,-774.1221361723383,-889.0,-774.7680026688513
"(5, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(1, 4)","(1, 1)",-780.4061414406144,-777.9876224465668,-780.5366150823362,-777.8950821363849
"(0, 4)","(1, 1)",-782.370981928184,-781.4686997702047,-782.1287483482575,-781.2383397114622
"(2, 4)","(1, 1)",-769.0441400519626,-765.0619586389928,-891.625,-766.364708345805
"(1, 5)","(1, 1)",-771.7399151064134,-767.4633801129781,-772.4542563076957,-893.375
"(0, 5)","(1, 1)",-776.6167007654485,-774.4570102554152,-779.1751580164704,-894.25
"(2, 5)","(1, 1)",-760.5145748078642,-750.8012559923169,-759.6598712130772,-958.125
"(3, 4)","(1, 1)",-763.6412061615883,-754.5235528350825,-765.0,-750.303097598365
"(2, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(0, 3)","(1, 3)",-728.5571414912793,-950.625,-730.2080938708228,-724.7830533712704
"(1, 3)","(2, 3)",0.0,0.0,0.0,0.0
"(4, 5)","(3, 1)",-783.5814363875816,-783.2101777057319,-783.8947311549679,-786.0412158498832
"(3, 6)","(3, 1)",0.0,0.0,0.0,0.0
"(0, 6)","(2, 2)",0.0,0.0,0.0,0.0
"(0, 6)","(1, 1)",0.0,0.0,0.0,0.0
"(1, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(3, 5)","(2, 1)",-773.3391719214677,-771.792020600019,-773.1674355307181,-893.375
"(2, 6)","(2, 1)",0.0,0.0,0.0,0.0
"(5, 6)","(4, 1)",-784.8521266745245,-782.4096938198138,-783.3902568584759,-781.8225378384723
"(5, 7)","(4, 1)",-779.7768850859111,-776.2522431439036,-782.5443003737842,-776.8130074108612
"(4, 7)","(4, 1)",-774.8093451082544,-779.7734247598795,-773.8836477353293,-777.360758608888
